date,symbol,score
2024-02-02,aapl,0.060284
2024-02-02,amgn,0.055653
2024-02-02,amzn,0.055653
2024-02-02,axp,0.055653
2024-02-02,ba,0.057667
2024-02-02,cat,0.055653
2024-02-02,crm,0.060284
2024-02-02,csco,0.057789
2024-02-02,cvx,0.055653
2024-02-02,dis,0.057667
2024-02-02,gs,0.055653
2024-02-02,hd,0.060284
2024-02-02,hon,0.057667
2024-02-02,ibm,0.060284
2024-02-02,jnj,0.057667
2024-02-02,jpm,0.057667
2024-02-02,ko,0.057667
2024-02-02,mcd,0.055653
2024-02-02,mmm,0.057789
2024-02-02,mrk,0.055653
2024-02-02,msft,0.057667
2024-02-02,nke,0.057667
2024-02-02,nvda,0.055653
2024-02-02,pg,0.057667
2024-02-02,shw,0.055653
2024-02-02,trv,0.055653
2024-02-02,unh,0.060284
2024-02-02,v,0.057667
2024-02-02,vz,0.057214
2024-02-02,wmt,0.055653
2024-02-05,aapl,0.055653
2024-02-05,amgn,0.055653
2024-02-05,amzn,0.057667
2024-02-05,axp,0.057667
2024-02-05,ba,0.057667
2024-02-05,cat,0.057667
2024-02-05,crm,0.055653
2024-02-05,csco,0.057789
2024-02-05,cvx,0.055653
2024-02-05,dis,0.057214
2024-02-05,gs,0.057789
2024-02-05,hd,0.057667
2024-02-05,hon,0.057667
2024-02-05,ibm,0.057789
2024-02-05,jnj,0.057789
2024-02-05,jpm,0.057667
2024-02-05,ko,0.060284
2024-02-05,mcd,0.057667
2024-02-05,mmm,0.057789
2024-02-05,mrk,0.055653
2024-02-05,msft,0.057667
2024-02-05,nke,0.057789
2024-02-05,nvda,0.055653
2024-02-05,pg,0.060284
2024-02-05,shw,0.057214
2024-02-05,trv,0.060284
2024-02-05,unh,0.057789
2024-02-05,v,0.057789
2024-02-05,vz,0.057789
2024-02-05,wmt,0.057667
2024-02-06,aapl,0.057667
2024-02-06,amgn,0.057214
2024-02-06,amzn,0.055653
2024-02-06,axp,0.057667
2024-02-06,ba,0.057667
2024-02-06,cat,0.055653
2024-02-06,crm,0.057667
2024-02-06,csco,0.060284
2024-02-06,cvx,0.055653
2024-02-06,dis,0.057667
2024-02-06,gs,0.057667
2024-02-06,hd,0.057667
2024-02-06,hon,0.057667
2024-02-06,ibm,0.057789
2024-02-06,jnj,0.057667
2024-02-06,jpm,0.057667
2024-02-06,ko,0.057789
2024-02-06,mcd,0.057667
2024-02-06,mmm,0.057667
2024-02-06,mrk,0.055653
2024-02-06,msft,0.060284
2024-02-06,nke,0.057667
2024-02-06,nvda,0.057667
2024-02-06,pg,0.057667
2024-02-06,shw,0.057667
2024-02-06,trv,0.057667
2024-02-06,unh,0.057667
2024-02-06,v,0.057667
2024-02-06,vz,0.057789
2024-02-06,wmt,0.057667
2024-02-07,aapl,0.057667
